Vértice 892: Pai = 727, Nível = 3
Vértice 220: Pai = 727, Nível = 3
Vértice 724: Pai = 727, Nível = 3
Vértice 550: Pai = 727, Nível = 3
Vértice 538: Pai = 727, Nível = 3
Vértice 214: Pai = 727, Nível = 3
Vértice 790: Pai = 469, Nível = 3
Vértice 777: Pai = 469, Nível = 3
Vértice 133: Pai = 469, Nível = 3
Vértice 496: Pai = 469, Nível = 3
Vértice 280: Pai = 469, Nível = 3
Vértice 510: Pai = 149, Nível = 3
Vértice 927: Pai = 149, Nível = 3
Vértice 26: Pai = 149, Nível = 3
Vértice 804: Pai = 149, Nível = 3
Vértice 224: Pai = 149, Nível = 3
Vértice 535: Pai = 149, Nível = 3
Vértice 816: Pai = 149, Nível = 3
Vértice 565: Pai = 149, Nível = 3
Vértice 931: Pai = 920, Nível = 3
Vértice 493: Pai = 920, Nível = 3
Vértice 45: Pai = 920, Nível = 3
Vértice 245: Pai = 676, Nível = 3
Vértice 787: Pai = 676, Nível = 3
Vértice 120: Pai = 676, Nível = 3
Vértice 553: Pai = 564, Nível = 3
Vértice 402: Pai = 564, Nível = 3
Vértice 884: Pai = 722, Nível = 3
Vértice 674: Pai = 722, Nível = 3
Vértice 842: Pai = 222, Nível = 3
Vértice 298: Pai = 222, Nível = 3
Vértice 192: Pai = 222, Nível = 3
Vértice 211: Pai = 222, Nível = 3
Vértice 334: Pai = 924, Nível = 3
Vértice 18: Pai = 924, Nível = 3
Vértice 430: Pai = 924, Nível = 3
Vértice 118: Pai = 56, Nível = 3
Vértice 499: Pai = 75, Nível = 3
Vértice 293: Pai = 75, Nível = 3
Vértice 35: Pai = 75, Nível = 3
Vértice 513: Pai = 75, Nível = 3
Vértice 823: Pai = 178, Nível = 3
Vértice 533: Pai = 178, Nível = 3
Vértice 296: Pai = 178, Nível = 3
Vértice 476: Pai = 178, Nível = 3
Vértice 534: Pai = 178, Nível = 3
Vértice 789: Pai = 978, Nível = 3
Vértice 88: Pai = 978, Nível = 3
Vértice 803: Pai = 978, Nível = 3
Vértice 107: Pai = 978, Nível = 3
Vértice 271: Pai = 978, Nível = 3
Vértice 877: Pai = 978, Nível = 3
Vértice 861: Pai = 978, Nível = 3
Vértice 570: Pai = 978, Nível = 3
Vértice 979: Pai = 104, Nível = 3
Vértice 424: Pai = 104, Nível = 3
Vértice 16: Pai = 104, Nível = 3
Vértice 914: Pai = 104, Nível = 3
Vértice 84: Pai = 581, Nível = 3
Vértice 953: Pai = 573, Nível = 3
Vértice 780: Pai = 573, Nível = 3
Vértice 41: Pai = 573, Nível = 3
Vértice 242: Pai = 573, Nível = 3
Vértice 173: Pai = 573, Nível = 3
Vértice 794: Pai = 520, Nível = 3
Vértice 100: Pai = 520, Nível = 3
Vértice 390: Pai = 520, Nível = 3
Vértice 115: Pai = 520, Nível = 3
Vértice 337: Pai = 520, Nível = 3
Vértice 875: Pai = 497, Nível = 3
Vértice 836: Pai = 137, Nível = 3
Vértice 697: Pai = 137, Nível = 3
Vértice 556: Pai = 137, Nível = 3
Vértice 410: Pai = 137, Nível = 3
Vértice 341: Pai = 137, Nível = 3
Vértice 687: Pai = 137, Nível = 3
Vértice 819: Pai = 137, Nível = 3
Vértice 864: Pai = 137, Nível = 3
Vértice 524: Pai = 419, Nível = 3
Vértice 642: Pai = 419, Nível = 3
Vértice 870: Pai = 419, Nível = 3
Vértice 43: Pai = 419, Nível = 3
Vértice 106: Pai = 419, Nível = 3
Vértice 295: Pai = 863, Nível = 3
Vértice 849: Pai = 863, Nível = 3
Vértice 328: Pai = 863, Nível = 3
Vértice 95: Pai = 863, Nível = 3
Vértice 858: Pai = 614, Nível = 3
Vértice 291: Pai = 614, Nível = 3
Vértice 146: Pai = 614, Nível = 3
Vértice 506: Pai = 614, Nível = 3
Vértice 119: Pai = 614, Nível = 3
Vértice 883: Pai = 574, Nível = 3
Vértice 151: Pai = 574, Nível = 3
Vértice 449: Pai = 487, Nível = 3
Vértice 388: Pai = 487, Nível = 3
Vértice 2: Pai = 397, Nível = 3
Vértice 55: Pai = 397, Nível = 3
Vértice 711: Pai = 195, Nível = 3
Vértice 274: Pai = 195, Nível = 3
Vértice 871: Pai = 195, Nível = 3
Vértice 518: Pai = 195, Nível = 3
Vértice 24: Pai = 195, Nível = 3
Vértice 97: Pai = 195, Nível = 3
Vértice 903: Pai = 776, Nível = 3
Vértice 552: Pai = 776, Nível = 3
Vértice 440: Pai = 776, Nível = 3
Vértice 344: Pai = 776, Nível = 3
Vértice 537: Pai = 745, Nível = 3
Vértice 656: Pai = 745, Nível = 3
Vértice 382: Pai = 745, Nível = 3
Vértice 929: Pai = 604, Nível = 3
Vértice 688: Pai = 604, Nível = 3
Vértice 760: Pai = 604, Nível = 3
Vértice 60: Pai = 604, Nível = 3
Vértice 347: Pai = 604, Nível = 3
Vértice 957: Pai = 512, Nível = 3
Vértice 820: Pai = 512, Nível = 3
Vértice 140: Pai = 512, Nível = 3
Vértice 662: Pai = 951, Nível = 3
Vértice 147: Pai = 526, Nível = 3
Vértice 993: Pai = 155, Nível = 3
Vértice 797: Pai = 155, Nível = 3
Vértice 170: Pai = 155, Nível = 3
Vértice 31: Pai = 155, Nível = 3
Vértice 747: Pai = 637, Nível = 3
Vértice 139: Pai = 637, Nível = 3
Vértice 619: Pai = 637, Nível = 3
Vértice 546: Pai = 637, Nível = 3
Vértice 860: Pai = 58, Nível = 3
Vértice 678: Pai = 58, Nível = 3
Vértice 631: Pai = 54, Nível = 3
Vértice 481: Pai = 54, Nível = 3
Vértice 357: Pai = 54, Nível = 3
